P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
18,19,8,706,2180,1028,6849,DF
18,20,7,730,1122,2820,1015,CF
18,21,6,699,936,1219,1944,ACF
18,22,5,1344,1515,1246,4882,MPF
18,23,4,642,1048,1740,913,DB
18,24,3,1223,1649,563,1701,CB
18,25,2,2040,1728,908,13838,AC
18,26,1,656,1664,738,1709,MP
18,27,8,711,856,1391,1588,DF
18,28,7,407,1457,1137,2607,CF
18,29,6,926,1183,1636,7329,ACF
18,30,5,852,682,1006,1928,MPF
18,31,4,397,811,902,654,DB
18,32,3,676,1056,626,742,CB
19,1,3,523,666,,1154,CB
19,2,2,287,703,343,607,AC
19,3,1,1563,1892,677,2995,MP
19,4,8,311,652,,2095,DF
19,5,7,289,572,1139,,CF
19,6,6,334,2143,451,3691,ACF
19,7,5,639,1457,1051,3689,MPF
19,8,4,318,402,847,1962,DB
19,9,3,522,609,800,254,CB
19,10,2,366,1256,716,2085,AC
19,11,1,528,699,547,470,MP
19,12,8,332,717,474,1619,DF
19,13,7,438,935,1580,1095,CF
19,14,6,477,2555,965,631,ACF
19,15,5,570,783,893,7470,MPF
19,16,4,337,1214,358,829,DB
19,17,3,725,3121,478,835,CB
19,18,2,728,1200,3336,,AC
19,19,1,327,726,464,171,MP
19,20,8,474,899,1284,937,DF
19,21,7,921,649,534,1889,CF
19,22,6,367,1306,2009,3568,ACF
19,23,5,902,636,834,6911,MPF
19,24,4,274,2037,476,3072,DB
19,25,3,539,802,2012,2732,CB
19,26,2,352,1382,222,5419,AC
19,27,1,2070,1662,376,427,MP
19,28,8,351,764,368,838,DF
19,29,7,338,3981,,1016,CF
19,30,6,292,682,2803,,ACF
19,31,5,348,2581,858,2837,MPF
19,32,4,662,1748,1068,,DB
20,1,4,457,180,693,1512,DB
20,2,3,374,845,1262,600,CB
20,3,2,416,1451,1760,2405,AC
20,4,1,550,1113,538,546,MP
20,5,8,360,1403,1252,5559,DF
20,6,7,614,739,1305,3723,CF
20,7,6,329,657,1009,2391,ACF
20,8,5,315,1166,1196,3359,MPF
20,9,4,800,1069,968,3938,DB
20,10,3,725,2350,,1358,CB
20,11,2,386,1332,782,1605,AC
20,12,1,764,1278,584,627,MP
20,13,8,460,1019,669,1828,DF
20,14,7,513,,1212,4189,CF
20,15,6,614,1418,956,2872,ACF
20,16,5,593,3667,1123,4564,MPF
20,17,4,402,1202,732,1312,DB
20,18,3,490,1389,532,1973,CB
20,19,2,341,1426,1295,2561,AC
20,20,1,796,1058,1106,2155,MP
20,21,8,395,1051,632,791,DF
20,22,7,471,1319,1265,2233,CF
20,23,6,350,2712,1425,2034,ACF
20,24,5,817,821,841,3059,MPF
20,25,4,664,947,1636,4019,DB
20,26,3,616,594,628,570,CB
20,27,2,352,1038,1166,1065,AC
20,28,1,1572,1255,719,1032,MP
20,29,8,212,356,11472,11928,DF
20,30,7,834,2150,1370,1807,CF
20,31,6,345,795,1043,3574,ACF
20,32,5,371,800,2078,3582,MPF
21,1,5,2721,2495,1218,1454,MPF
21,2,4,,1388,1985,3231,DB
21,3,3,,1990,679,617,CB
21,4,2,1011,4088,1041,743,AC
21,5,1,1275,2189,1784,2883,MP
21,6,8,1050,4135,1530,13471,DF
21,7,7,999,876,2651,13631,CF
21,8,6,799,1885,3219,8518,ACF
21,9,5,863,1727,2511,,MPF
21,10,4,1081,2345,1021,3423,DB
21,11,3,712,3089,3122,2085,CB
21,12,2,989,4267,1888,1412,AC
21,13,1,1948,3663,1106,2095,MP
21,14,8,2335,2090,6621,1074,DF
21,15,7,1063,,,1677,CF
21,16,6,1630,2281,1529,3095,ACF
21,17,5,2034,5465,683,1397,MPF
21,18,4,485,1416,695,4874,DB
21,19,3,916,2000,805,7005,CB
21,20,2,1452,5333,1215,987,AC
21,21,1,2286,1586,1962,2216,MP
21,22,8,1847,1532,2715,4184,DF
21,23,7,730,1286,2430,,CF
21,24,6,1309,1665,2207,1138,ACF
21,25,5,808,959,1488,2595,MPF
21,26,4,1259,3919,789,3592,DB
21,27,3,540,1732,986,6979,CB
21,28,2,1057,3265,1147,1439,AC
